X,Y,OBJECTID,ID,Status,MeterID,DualID,Jurisdiction,Block,Street,XStreetA,XStreetB,LocationDescription,Notes,Comments,Installed,Retired,Handicap,LinearFeet,Hours,Manufacturer,Models,MetroAreas,MeterType,NFC,Side,Rate,TourBus,TimeRestriction,AddressNumber,City,County,EstimatedOCI,LocatorAddressNumber,LocatorCity,LocatorStreet,StateValue,Replaced,TotalCost,EntryDate,cgLastModified,GeoSyncDate,Latitude,Longitude,cgGeoSyncDate,BlockFaceID,PerformanceParking,CellZone,Spaces,PricingZone,PricingSubzone,Par1MainGeneralOID
11878269.7025511,7006875.61369731,1078,840,Active,904200N,,Arlington County,4200,9th ST N,N STAFFORD ST,N STUART ST,54157 - 904200N,"FORMERLY 904100N/BLOCK CORRECTION 1/30/19, THURS 1PM - 9PM RESERVED FOR FARMER'S MARKET","REINSTALLED 1/30/19, 12/15/17 TEMP REM CONSTRUCTION,  INSTALLED 7/30/15",2015/07/30 00:00:00+00,,No,88,2,CALE,CWT,Ballston,Multi,No,South,1.75,No,MON - SAT 8AM - 8PM,,,,82.1,,,,,2019/01/30 00:00:00+00,4.25,2019/05/09 11:42:47+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.88097674,-77.11113842,,N9TSTSTS,Yes,54157,4.4000001,Zone 140,A,607239745
11889423.4538656,7001955.02380098,1079,2639,Permanently Removed,OR906S,,Arlington County,900,S ORME ST,COLUMBIA PIKE,SOUTHGATE RD,,,PERM REMOVED 09/24/2016,1970/01/02 00:00:00+00,2016/09/24 00:00:00+00,No,20,,MacKay,,Columbia Pike,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:31+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.86699786,-77.07223072,,,No,54624,1,,,607898773
11886332.8150337,7009977.47002639,1080,3032,Permanently Removed,TR1311N,TR1309N,Arlington County,1300,N TROY ST,13th ST N,14th ST N,,CONVERTED TO MULTISPACE 10/24/15,,1970/01/02 00:00:00+00,2015/10/24 00:00:00+00,No,20,,Duncan,,Courthouse,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:41+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.88915426,-77.08264921,,NTR1413E,No,54416,1,,,608234544
11894240.2457411,6999422.0757829,1081,341,Permanently Removed,15503S,15501S,Arlington County,500,15th ST S,S FERN ST,S EADS ST,,HOURS CONVERTED 1/25/10,PERM REMOVED 08/09/2016,1970/01/02 00:00:00+00,2016/08/09 00:00:00+00,No,20,,Duncan,,Pentagon City,Double,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:32+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.85983698,-77.05545551,,S15FEELN,No,54370,1,,,608360629
11895556.9022285,6998094.36780839,1082,3620,Active,20H203S,,Arlington County,200,20th ST S,S BELL ST,CRYSTAL DR,54689 - 20H203S,,INSTALLED 8/5/19,2024/08/14 00:00:00+00,,Yes,20,4,IPS,M5,Crystal City,Single,Yes,North,1.75,No,MON - SAT 8AM - 8PM,200,Arlington,,99.9,2051,ARLINGTON,S BELL ST,,2020/02/05 00:00:00+00,0,2019/06/12 11:48:27+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.8561349,-77.05090585,,S20BECRN,Yes,54689,1,Zone 154,A,609459767
11894673.0037339,6998471.39723806,1083,179,Active,180500S,,Arlington County,500,18th ST S,S EADS ST,S FERN ST,54361 - 180500S,,"INSTALLED 7/22/09, UPGRADED TO CWT-S4-TOUCH STEALTH ON 6/4/20",2009/07/22 00:00:00+00,,No,82.6,12,CALE,CWT-S4-Touch Stealth,Crystal City,Multi,No,South,1.50,No,MON - FRI 8AM - 8PM,,,,98.31,505,,18th ST S,,2020/06/04 00:00:00+00,3.25,2019/05/09 11:42:28+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.85720827,-77.05398853,,S18EAFES,Yes,54361,4.1300001,Zone 150,A,610311848
11890346.9261,7012601.40736382,1084,1016,Active,AR01801N,,Arlington County,1800,N ARLINGTON RIDGE RD,WILSON BLVD,19th ST N,54563 - AR01801N,FORMERLY AR01805N  8/11/2020,INSTALLED 10/14/09,2009/10/14 00:00:00+00,,No,126,12,CALE,CWT-S4-Touch Stealth,Rosslyn,Multi,No,East,1.50,No,MON - FRI 8AM - 8PM,,,,99.27,,,,,2020/08/11 00:00:00+00,3.25,2019/05/09 11:42:51+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.896187,-77.06840467,,NARWI19E,Yes,54563,6.3000002,Zone 100,A,611005694
11873815.6317348,7010157.70391789,1085,1632,Permanently Removed,EDI1702N,ED1700N,Arlington County,1700,N EDISON ST,17th ST N,17th RD N,,,PERM REMOVAL CALE CONVERSION,1970/01/02 00:00:00+00,2016/11/19 00:00:00+00,No,20,,Duncan,,Virginia Hospital,Double,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:06+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.89017145,-77.12661059,,,No,54597,1,,,611375194
11895700.919329,7000923.26503773,1086,63,Permanently Removed,10330S,,Arlington County,300,10th ST S,LONG BRIDGE DR,S BALL ST,,"CONVERTED TO MULTISPACE METER 10/10/15; Temporarily Removed for Monument View Project",,1970/01/02 00:00:00+00,2015/10/10 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,South,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:24+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.86389514,-77.05024331,,S10BANOS,No,54099,1,Zone 11,A,612083194
11889693.3788506,7012597.10061389,1087,2446,Permanently Removed,LY1807N,,Arlington County,1800,N LYNN ST,19th ST N,WILSON BLVD,,,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Rosslyn,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:27+00,2024/09/23 10:14:15+00,2024/10/13 02:10:31+00,38.89620314,-77.07070092,,,No,35401,1,,,612143502
11884798.6826033,7009013.74360739,1088,1048,Active,BA01101N,,Arlington County,1100,N BARTON ST,12th ST N,11th ST N,54384 - BA01101N,,INSTALL DATE 8/5/17,1970/01/02 00:00:00+00,,No,199,12,CALE,CWT,Courthouse,Multi,No,East,0.75,No,MON - FRI 8AM - 8PM,,,,0,,,,,,3.25,2019/05/09 11:42:52+00,2024/09/23 10:31:51+00,2024/10/13 02:10:31+00,38.88657335,-77.08809041,,NBA1211E,Yes,54384,10,Zone 119,B,612289031
11894165.3492374,7000151.86697422,1089,154,Permanently Removed,130504S,,Arlington County,500,13th ST S,S FAIR ST,S ELM ST,,1/8/19 FORMERLY 130501S,INSTALLED 4/25/16. Changed to permanently removed status on 6/12/23 due to spaces not coming back with new street design.,2016/04/25 00:00:00+00,,No,78,4,CALE,CWT,Pentagon City,Multi,No,South,1.75,No,MON - SAT 8AM - 8PM,,,,58.21,,,,,2019/01/08 00:00:00+00,97,2019/05/09 11:42:27+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.86184379,-77.05567818,,S13FAELS,No,54654,5,,,612916660
11886010.6975677,7010027.19827339,1090,1173,Active,CH01302N,,Arlington County,1300,N COURTHOUSE RD,14th ST N,13th ST N,54789 - CH01302N,,INSTALLED 9/3/15,2015/09/03 00:00:00+00,,No,89,2,CALE,CWT,Courthouse,Multi,No,West,1.75,No,MON - SAT 8AM - 8PM,,,,98.2,,,,,2015/09/03 00:00:00+00,98,2019/05/09 11:42:55+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.88930443,-77.08377806,,NCO1413W,Yes,54789,4.4499998,Zone 113,A,613022980
11879631.2382138,7006961.76870872,1091,675,Permanently Removed,93822N,93824N,Arlington County,3800,9th ST S,N POLLARD ST,N OAKLAND ST,,MULTISPACE INSTALLED 8/31/15,,1970/01/02 00:00:00+00,2015/08/31 00:00:00+00,No,20,,Duncan,,Virginia Square,Double,,South,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:42+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.88115662,-77.10635153,,,No,54211,1,,,613065297
11894791.4700324,6994056.68953206,1092,1586,Permanently Removed,EA3027S,EA3025S,Arlington County,3000,S EADS ST,32nd ST S,S GLEBE RD,,,PERM REMOVED BIKE SHARE CONVERSION 121416,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Crystal City,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:04+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.84508293,-77.05381677,,SEA31GLE,No,54028,1,,,613435102
11887200.9287831,7011083.12923239,1093,2937,Permanently Removed,RH1606N,RH1604N,Arlington County,1600,N RHODES ST,WILSON BLVD,CLARENDON BLVD,,MULTISPACE CONVERSION 8/27/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,Duncan,,Courthouse,Double,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:38+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.8921529,-77.07953959,,,No,54420,1,,,613817978
11887530.0386891,7012401.8057289,1094,2706,Permanently Removed,QN1811N,,Arlington County,1800,N QUINN ST,18th ST N,KEY BLVD,,WILSON TO 18,CONVERTED TO CALE  8/22/15,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Rosslyn,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:33+00,2024/09/23 10:14:15+00,2024/10/13 02:10:31+00,38.89575921,-77.0783117,,,No,54528,1,,,615791853
11879119.5788041,7006987.48059957,1095,693,Permanently Removed,94007N,,Arlington County,4000,9th ST N,N RANDOLPH ST,N QUINCY ST,,,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,POM,,Ballston,Double,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:42+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.88124852,-77.10814733,,,No,19801,1,,,615804804
11894859.5125472,6996526.00250681,1096,1433,Permanently Removed,EA2419S,,Arlington County,2400,S EADS ST,24th ST S,25th ST S,,,"PERM REMOVED 09/17/2016, MULTI METER CONVERSION",2016/09/17 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,East,,No,,,,,,,,,,2016/09/17 00:00:00+00,0,2019/05/09 11:43:01+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.85185929,-77.05344129,,SEA2425E,No,54042,1,,,615852714
11896010.5007308,7000999.13660514,1097,1077,Active,BL0603S,,Arlington County,600,S BALL ST,6th ST S,10th ST S,54639 - BL0603S,,INSTALLED 7/31/15,2015/07/31 00:00:00+00,,No,131,4,CALE,CWT,Crystal City,Multi,No,East,1.75,No,MON - SAT 8AM - 8PM,605,,,21.45,605,,S BALL ST,,2015/07/31 00:00:00+00,1,2019/05/09 11:42:52+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.86409001,-77.04915199,,SBA6T10E,Yes,54639,6.5500002,Zone 145,A,617236014
11878016.773595,7006427.58801857,1098,212,Permanently Removed,138N,137N,Arlington County,4200,WILSON BLVD,WILSON BLVD,N GLEBE RD,,Ballston Lot,10/7/17 Converted to Cale,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Ballston,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:29+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.87975722,-77.1120506,,BALL,No,54119,1,,,617446305
11894830.4348495,6996313.71946681,1099,1441,Permanently Removed,EA2505S,,Arlington County,2500,S EADS ST,25th ST S,26th ST S,,,"PERM REMOVED 09/17/2016, MULTI METER CONVERSION",2016/09/17 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,East,,No,,,,,,,,,,2016/09/17 00:00:00+00,0,2019/05/09 11:43:01+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.85127774,-77.05355513,,SEA2526E,No,54041,1,,,617610009
11878643.788089,7006923.78190807,1100,706,Permanently Removed,94105N,,Arlington County,4100,9th ST N,N STAFFORD ST,N RANDOLPH ST,,REMOVED 9/2/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,Duncan,,Ballston,Double,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:43+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.88109344,-77.1098219,,,No,54156,1,,,617679436
11883459.2344948,7008374.51325856,1101,1815,Active,FI01000N,,Arlington County,1000,N FILLMORE ST,11th ST N,10th ST N,54264 - FI01000N,,INSTALLED 7/27/15,2015/07/27 00:00:00+00,,No,87,2,CALE,CWT,Clarendon,Multi,No,West,1.75,No,MON - SAT 8AM - 8PM,,,,34.29,,,,,2015/07/27 00:00:00+00,5.5,2019/05/09 11:43:10+00,2024/10/13 01:01:22+00,2024/10/13 02:10:31+00,38.88487486,-77.0928299,,NFI1110W,Yes,54264,4.3499999,Zone 124,B,618245878
11896084.0599669,7001139.48442157,1102,1074,Active,BL0600S,,Arlington County,600,S BALL ST,6th ST S,10th ST S,54087 - BL0600S,"There are two Multi-Meters ID: BL0600S, BL0602S in this Parallel Parking",INSTALLED 5/15/14,2014/05/15 00:00:00+00,,No,181.5,4,CALE,CWT-S4-Touch Stealth,Crystal City,Multi,No,West,1.75,No,MON - SAT 8AM - 8PM,,,,99.49,,,,,2021/06/22 00:00:00+00,3.25,2019/05/09 11:42:52+00,2024/10/13 01:01:23+00,2024/10/13 02:10:31+00,38.86447213,-77.04888589,,SBA6T10W,Yes,54087,9.0699997,Zone 145,A,618296065
11880319.9405766,7007989.51763748,1103,83,Active,103602N,103600N,Arlington County,3600,10th ST N,N MONROE ST,N NELSON ST,54228 - 103602N,"CONVERTED TO REGULAR PARKING & HR CHANGE 4 TO 2 5/14/19, CONVERTED TO HANDICAP METER 10/12/2016","INSTALLED IPS 10/12/16, Temp Rem 6/19/14",2016/10/12 00:00:00+00,,No,20,2,IPS,M5,Virginia Square,Double,Yes,South,1.75,No,MON - SAT 8AM - 8PM,,,,97.02,,,,,2020/02/21 00:00:00+00,0,2019/05/09 11:42:25+00,2024/10/13 01:01:23+00,2024/10/13 02:10:31+00,38.88394949,-77.1038776,,N10MONES,Yes,54228,1,Zone 135,B,618340973
11880262.1624769,7012326.75568214,1104,3445,Active,LA03500N,,VDOT,3500,LANGSTON BLVD,N LINCOLN ST,N MONROE ST,54608 - LA03500N,,INSTALLED 11/17/17,2017/11/17 00:00:00+00,,No,89,4,CALE,CWT,Langston Blvd,Multi,No,South,1.75,No,MON - SAT 8AM - 8PM,,,,98.59,,,,,,1,2019/05/09 11:43:51+00,2024/10/13 01:01:23+00,2024/10/13 02:10:31+00,38.89585941,-77.10384884,,NLALIMOS,No,54608,4.5,,,619981035
11874077.1814086,7009656.44737448,1105,1627,Active,EDI01602N,,Arlington County,1600,N EDISON ST,16th ST N,17th RD N,54595 - EDI01602N,,"INSTALLED 11/19/09, UPGRADED TO CWT-S4-TOUCH STEALTH ON 12/4/2020",2009/11/19 00:00:00+00,,No,130,12,CALE,CWT-S4-Touch Stealth,Virginia Hospital,Multi,No,West,1.50,No,MON - FRI 8AM - 8PM,,,,99.93,,,,,2020/12/04 00:00:00+00,5.25,2019/05/09 11:43:05+00,2024/10/13 01:01:23+00,2024/10/13 02:10:31+00,38.88878454,-77.12571816,,NED1617W,No,54595,6.5,,,620152957
11885393.231283,6992222.38611406,1106,2776,Active,QU2806S,,Arlington County,2800,S QUINCY ST,CAMPBELL AVE,S RANDOLPH ST,54017 - QU2806S,"ARLING. MILL TO CAMPBELL, 28 TO RANDOLPH",INSTALLED IPS 2/12/18,2018/02/12 00:00:00+00,,No,20,0.5,IPS,M5,Shirlington,Single,Yes,West,1.75,No,MON - SAT 8AM - 8PM,,,,99.93,,,,,2018/02/12 00:00:00+00,0,2019/05/09 11:43:35+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.84044883,-77.08690992,,,No,54017,1,,,620444147
11889616.9337936,7012845.81501147,1107,2444,Permanently Removed,LY1732N,,Arlington County,1700,N LYNN ST,WILSON BLVD,19th ST N,,Temp Rem 4/23/14,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Rosslyn,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:27+00,2024/09/23 10:14:15+00,2024/10/13 02:10:31+00,38.89688922,-77.07095588,,,No,35402,1,,,620888778
11893913.9179817,7000009.28687881,1108,1733,Active,FE01300S,,Arlington County,1300,S FERN ST,13th ST S,14th ST S,54343 - FE01300S,FORMERLY FE01301S,"INSTALLED 3/17/10, UPGRADED TO CWT-S4-TOUCH STEALTH ON 12/17/2020",2010/03/17 00:00:00+00,,No,153.6,2,CALE,CWT-S4-Touch Stealth,Pentagon City,Multi,No,West,1.75,No,MON - SAT 8AM - 8PM,,,,98.4,,,,,2020/12/17 00:00:00+00,7.75,2019/05/09 11:43:08+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.86146321,-77.05656894,,SFE1314W,Yes,54343,7.6799998,Zone 151,A,622233301
11894642.638309,7000075.08169472,1109,3785,Active,EA01300S,,Arlington County,1300,S EADS ST,13th ST S,14th ST S,,,,2023/05/20 00:00:00+00,,No,102.6,2,CALE,CWT-S4-Touch Stealth,Pentagon City,Multi,No,West,1.75,No,MON - SAT 8AM - 8PM,,,,93.93,1350,,S EADS ST,,,3.25,2023/04/20 10:57:58+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.86161236,-77.05400645,,SEA1314W,Yes,54499,5.1300001,Zone 151,A,622909153
11885992.3150586,7009645.6832884,1110,164,Permanently Removed,132001N,,Arlington County,2100,13th ST N,N VEITCH ST,N COURTHOUSE RD,,"CONVERTED TO MULTISPACE 10/17/15; 2HR CHANGED TO 12HR ON 12/24/12",,1970/01/02 00:00:00+00,2015/10/24 00:00:00+00,No,20,,MacKay,,Courthouse,Single,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:27+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.8882578,-77.08386331,,N13COVEN,No,54426,1,,,623361109
11885589.0681616,7009816.37815697,1111,2831,Permanently Removed,VE1302N,,Arlington County,1300,N UHLE ST,14th ST N,13th ST N,,CONVERTED TO MULTISPACE 10/24/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Courthouse,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:36+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.88874349,-77.08527058,,NVE1413W,No,54403,1,,,623388437
11880228.7632655,7007047.89189605,1112,2619,Permanently Removed,OAL800N,,Arlington County,900,N OAKLAND ST,FAIRFAX DR,WILSON BLVD,,CONVERTED TO MULTISPACE 10/17/15,,1970/01/02 00:00:00+00,2015/10/17 00:00:00+00,No,20,,POM,,Virginia Square,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:31+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.88136814,-77.10424816,,,No,54185,1,,,623624518
11885533.8156475,7010587.58199514,1113,338,Permanently Removed,152111N,152113N,Arlington County,2100,15th ST N,CLARENDON BLVD,N UHLE ST,,"Multi 12/3/15; Temp Rem 6/23/14; Reinstall 7/10/14",,2014/07/10 00:00:00+00,2015/12/03 00:00:00+00,No,20,,MacKay,,Courthouse,Double,,South,,No,,,,,,,,,,2014/07/10 00:00:00+00,0,2019/05/09 11:42:32+00,2023/03/30 22:29:41+00,2024/10/13 02:10:31+00,38.8908631,-77.08542292,,N15CLUHN,No,54461,1,,,624582513
11885956.6799592,7004452.60246722,1114,3091,Permanently Removed,WA2130S,,Arlington County,2100,S WASHINGTON BLVD,8th ST S,6th ST S,,Removed DHS use 4/13/15,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Sequoia,Single,,South,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:42+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.87400217,-77.08426983,,,No,54623,1,,,625707873
11892940.9074606,6999453.14888348,1115,557,Permanently Removed,207S,,Arlington County,1500,S HAYES ST,15th ST S,S HAYES ST,,Virginia Highlands Park Lot,Perm Removed 06/18/2016,1970/01/02 00:00:00+00,2016/06/18 00:00:00+00,No,20,,MacKay,,Pentagon City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:38+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.85997834,-77.06001625,,VHP,No,54362,1,,,626011105
11887208.8720086,7011171.44565681,1116,2933,Permanently Removed,RH1601N,RH1603N,Arlington County,1600,N RHODES ST,CLARENDON BLVD,16th ST N,,,REMOVED FOR SHUTTLE BUS PARKING,1970/01/02 00:00:00+00,2013/10/21 00:00:00+00,No,20,,,,Rosslyn,Double,,,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:38+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.89239503,-77.07950689,,,No,0,1,,,626109918
11884951.2151066,7010769.65249714,1117,940,Permanently Removed,AD1522N,,Arlington County,1500,N ADAMS ST,WILSON BLVD,N CUSTIS RD,,Temp Removed 1/26/15,,1970/01/02 00:00:00+00,2021/10/19 00:00:00+00,No,20,,MacKay,,Courthouse,Single,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:49+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.89138759,-77.0874597,,,No,54398,1,,,627578159
11894619.5957042,6995100.58869098,1118,1890,Permanently Removed,FS2805S,,Arlington County,2800,FORT SCOTT DR,S EADS ST,S FERN ST,,,10/28/17 CONVERTED TO CALE,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,MacKay,,Crystal City,Single,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:12+00,2024/09/23 10:19:08+00,2024/10/13 02:10:31+00,38.84795631,-77.05436245,,,No,54035,1,,,627725322
11893102.2857467,6999471.27942464,1119,2030,Permanently Removed,HA1513S,,Arlington County,1500,S HAYES ST,18th ST S,15th ST S,,,PERM REMOVED 06/11/2016,1970/01/02 00:00:00+00,2016/06/11 00:00:00+00,No,20,,MacKay,,Pentagon City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:15+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.86002116,-77.05944859,,SHA15FEE,No,54363,1,,,627726451
11892939.1367948,6999462.44578089,1120,556,Permanently Removed,206S,,Arlington County,1500,S HAYES ST,15th ST S,S HAYES ST,,Virginia Highlands Park Lot,Perm Removed 06/18/2016,1970/01/02 00:00:00+00,2016/06/18 00:00:00+00,No,20,,MacKay,,Pentagon City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:38+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.86000394,-77.06002196,,VHP,No,54362,1,,,628565162
11886203.985567,7004390.67870656,1121,3100,Active,WA2139S,WA2137S,Arlington County,2100,WASHINGTON BLVD,S WALTER REED DR,ARLINGTON BLVD,54622 - WA2139S,SAT TO FRI,"INSTALLED IPS 2/16/18, INSTALLATION DATE UNKNOWN",2018/02/16 00:00:00+00,,No,20,12,IPS,M5,Sequoia,Double,Yes,North,0.75,No,MON - FRI 8AM - 8PM,,,,71.63,,,,,2021/03/30 00:00:00+00,0,2019/05/09 11:43:42+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.87382169,-77.08340463,,,No,54622,1,,,628687281
11882915.0249533,7008770.28379248,1122,2112,Active,HI1101N,,Arlington County,1100,N HIGHLAND ST,WASHINGTON BLVD,11th ST N,54251 - HI1101N,,"KNOCKED OVER 11/10/2020 - REINSTALLATION DATE UNKNOWN (early 2021), INSTALLED 12/27/16",2016/12/27 00:00:00+00,,No,20,2,IPS,M5,Clarendon,Single,Yes,East,1.75,No,MON - SAT 8AM - 8PM,,,,97.27,,,,,2020/12/11 00:00:00+00,0,2019/05/09 11:43:18+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.8859843,-77.09472021,,NHIWA11E,Yes,54251,1,Zone 123,A,629509241
11886859.3687706,7010383.00432031,1123,232,Active,141800N,141802N,Arlington County,1800,14th ST N,N SCOTT ST,N SCOTT ST,54466 - 141800N,,INSTALLED IPS 3/22/18,1970/01/02 00:00:00+00,,No,20,12,IPS,M5,Courthouse,Double,Yes,South,1.50,No,MON - FRI 8AM - 8PM,,,,93.73,,,,,2019/12/05 00:00:00+00,10,2019/05/09 11:42:29+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.89024528,-77.0807775,,N14SCSCS,Yes,54466,1,Zone 108,A,629699650
11885048.4347285,6991589.12228873,1124,3703,Active,31H4100S,,Arlington County,4100,31st ST S,S RANDOLPH ST,S ABINGDON ST,54858 - 31H4100S,,INSTALLED 9/22/2020,2020/09/22 00:00:00+00,,Yes,20,12,IPS,M5,Shirlington,Single,Yes,South,1.50,No,MON - FRI 8AM - 8PM,,,,73.27,4100 4198,,31st ST S,,2020/09/23 00:00:00+00,0,2020/08/06 11:11:05+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.83872481,-77.0881545,,S31RAABS,No,54858,1,,,630143800
11879275.9662866,7005815.42257623,1125,2799,Permanently Removed,QU503N,,Arlington County,500,N QUINCY ST,WILSON BLVD,N GLEBE RD,,Replaced with multispace meter,,1970/01/02 00:00:00+00,2011/12/29 00:00:00+00,No,20,,MacKay,,Virginia Square,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:35+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.87802422,-77.10766047,,NQUWI5TE,No,25801,1,,,632154583
11888190.1912402,7011583.20008264,1126,1144,Active,CB1504N,,Arlington County,1500,CLARENDON BLVD,N PIERCE ST,N ODE ST,54756 - CB1504N,9/19/18 FORMERLY CB1524N,REINSTALLED 12/7/18,2018/12/17 00:00:00+00,,No,21,2,IPS,M5,Rosslyn,Single,Yes,South,1.75,No,MON - SAT 8AM - 8PM,,,,93.56,,,,,2018/12/07 00:00:00+00,0,2019/05/09 11:42:54+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.89348372,-77.07603711,,NCLPIODS,Yes,54756,1,Zone 105,B,632673192
11893126.6219841,6999251.44554673,1127,2048,Permanently Removed,HA1531S,,Arlington County,1500,S HAYES ST,18th ST S,15th ST S,,,PERM REMOVED 06/11/2016,1970/01/02 00:00:00+00,2016/06/11 00:00:00+00,No,20,,MacKay,,Pentagon City,Single,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:16+00,2024/09/23 10:17:54+00,2024/10/13 02:10:31+00,38.85941658,-77.05937525,,SHA15FEE,No,54363,1,,,632704613
